#    RecQuery myQuery("PersistentJetFinder");
#    myQuery.setParameter<int>("JetAlgorithm",2);
#    myQuery.setParameter<int>("JetRecom",4);
#    myQuery.setParameter("ConeCut",0.7);
#    myQuery.setParameter("ConeSeedEtCut",0.0);
#    myQuery.setParameter("JetInput","EcalPlusHcalTowerInput");
#    myQuery.setParameter("EcalPlusHcalTowerEt",0.5);
#    myQuery.setParameter("JetCalibration","no");

#ETA  type  min     b1      b2       b3     x0        c1      c2      c3      max 
0.226  2    22    0.7300   -3.00    3.00   32.01    0.8000  0.0100   -32.0    140.
0.441  2    22    0.7350   -4.80    3.00   27.01    0.7450  0.0200   -27.0    140.   
0.751  2    22    0.7400   -6.70    3.00   36.00    0.6740  0.0300   -27.0    140.   
0.991  2    22    0.7100   -8.00    3.00   36.50    0.5750  0.0500   -22.0    140.   
1.240  2    22    0.7000   -7.50    3.00   41.00    0.4700  0.0700   -15.0    140.   
1.496  2    22    0.6870   -7.50    3.00   38.00    0.3600  0.0900     0.0    140.   
1.757  2    22    0.6870   -7.50    3.00   31.00    0.3200  0.1000    10.0    140.   
2.046  2    22    0.7160   -8.00    3.00   33.50    0.2800  0.1100    20.0    140.   
2.295  2    22    0.7600   -8.50    3.00   33.50    0.3770  0.0900    40.0    140.   
2.487  2    22    0.7700   -9.70    3.00   29.00    0.5400  0.0600    40.0    140.   
2.690  2    22    0.8000   -9.90    3.00   35.00    0.7270  0.0300   -23.0    140.   
2.916  2    22    0.8100  -10.10    3.00   32.50    0.7400  0.0300   -17.0    140.   
3.284  2    22    0.8300  -10.00    3.00   32.50    0.7550  0.0300   -17.0    140.   
